Trace1,Trace2,Judge,Time1,Time2,Time3
T8_samples2.csv,T4_samples2.csv,4,12636,1578,14214
T8_samples2.csv,T9_samples1.csv,2,10405,5309,15714
T8_samples2.csv,T4_samples7.csv,4,17442,1076,18518
T8_samples2.csv,T2_samples5.csv,2,9243,1056,10299
T8_samples2.csv,T4_samples5.csv,4,16457,1823,18280
T8_samples2.csv,T4_samples6.csv,4,13888,1580,15468
T8_samples2.csv,T9_samples4.csv,2,10898,1152,12050
T8_samples2.csv,T2_samples4.csv,2,15744,1517,17261
T8_samples2.csv,T4_samples2.csv,3,19168,1023,20191
T8_samples2.csv,T9_samples1.csv,3,8863,1751,10614
T1_samples1.csv,T4_samples7.csv,3,23298,1077,24375
T1_samples1.csv,T9_samples2.csv,3,14165,1661,15826
T1_samples1.csv,T8_samples4.csv,4,18856,1004,19860
T1_samples1.csv,T9_samples4.csv,4,16676,3033,19709
T1_samples1.csv,T8_samples3.csv,4,9668,937,10605
T4_samples3.csv,T8_samples6.csv,4,16669,1668,18337
T4_samples3.csv,T9_samples4.csv,4,20905,1774,22679
T4_samples3.csv,T8_samples1.csv,3,21925,1787,23712
T4_samples3.csv,T8_samples7.csv,5,8226,1317,9543
T4_samples3.csv,T8_samples5.csv,4,11646,1168,12814
T9_samples2.csv,T4_samples7.csv,4,16442,1796,18238
T9_samples2.csv,T2_samples2.csv,4,19110,1082,20192
T9_samples2.csv,T2_samples5.csv,5,11005,2533,13538
T9_samples2.csv,T2_samples3.csv,4,8039,1076,9115
T9_samples2.csv,T1_samples1.csv,4,15306,1851,17157
T9_samples2.csv,T2_samples1.csv,4,8756,1415,10171
T9_samples2.csv,T1_samples3.csv,2,11666,1314,12980
T9_samples2.csv,T2_samples4.csv,5,9264,992,10256
T9_samples2.csv,T8_samples1.csv,5,9481,1154,10635
T2_samples5.csv,T4_samples7.csv,4,24575,1795,26370
T2_samples5.csv,T9_samples2.csv,5,22660,1720,24380
T2_samples5.csv,T8_samples2.csv,4,19366,2140,21506
T2_samples5.csv,T1_samples5.csv,4,16126,3729,19855
T2_samples5.csv,T9_samples4.csv,4,14379,1530,15909
T2_samples5.csv,T8_samples1.csv,4,9917,882,10799
T2_samples5.csv,T9_samples3.csv,4,28171,1641,29812
T2_samples5.csv,T4_samples2.csv,5,11039,1116,12155
T2_samples5.csv,T9_samples1.csv,4,13410,979,14389
T8_samples3.csv,T4_samples7.csv,4,13917,978,14895
T8_samples3.csv,T4_samples5.csv,3,32365,1029,33394
T8_samples3.csv,T4_samples6.csv,5,11761,1635,13396
T8_samples3.csv,T1_samples1.csv,4,12900,1172,14072
T2_samples2.csv,T4_samples7.csv,3,22241,1179,23420
T2_samples2.csv,T9_samples2.csv,3,11244,2802,14046
T2_samples2.csv,T8_samples6.csv,4,12471,1525,13996
T2_samples2.csv,T4_samples1.csv,3,14694,977,15671
T2_samples2.csv,T4_samples6.csv,4,11041,1729,12770
T2_samples2.csv,T9_samples4.csv,5,12199,2076,14275
T2_samples2.csv,T1_samples3.csv,3,12390,1645,14035
T2_samples2.csv,T8_samples1.csv,5,8712,932,9644
T2_samples2.csv,T8_samples7.csv,4,10288,972,11260
T2_samples2.csv,T9_samples3.csv,4,11051,1840,12891
T2_samples2.csv,T4_samples2.csv,4,36806,995,37801
T2_samples2.csv,T9_samples1.csv,4,9151,1069,10220
T8_samples7.csv,T2_samples2.csv,4,32132,1471,33603
T8_samples7.csv,T4_samples3.csv,4,18261,896,19157
T8_samples7.csv,T4_samples1.csv,4,10785,1688,12473
T8_samples7.csv,T2_samples3.csv,4,9838,1326,11164
T8_samples7.csv,T4_samples6.csv,5,9695,1047,10742
T8_samples7.csv,T4_samples4.csv,4,11825,923,12748
T8_samples7.csv,T4_samples2.csv,4,14290,1248,15538
T2_samples2.csv,T4_samples7.csv,4,12695,972,13667
T2_samples2.csv,T9_samples2.csv,3,15189,997,16186
T2_samples2.csv,T8_samples6.csv,4,19014,972,19986
T2_samples2.csv,T4_samples1.csv,4,28829,1970,30799
T2_samples2.csv,T4_samples6.csv,4,11466,1277,12743
T2_samples2.csv,T9_samples4.csv,5,9819,1745,11564
T2_samples2.csv,T1_samples3.csv,3,10434,925,11359
T2_samples2.csv,T8_samples1.csv,5,12154,862,13016
T2_samples2.csv,T8_samples7.csv,4,8703,825,9528
T2_samples2.csv,T9_samples3.csv,4,11931,810,12741
T2_samples2.csv,T4_samples2.csv,4,7862,869,8731
T2_samples2.csv,T9_samples1.csv,4,11764,3385,15149
T4_samples2.csv,T2_samples2.csv,3,19937,4551,24488
T4_samples2.csv,T2_samples5.csv,4,12574,931,13505
T4_samples2.csv,T8_samples2.csv,4,8769,1704,10473
T4_samples2.csv,T8_samples4.csv,4,19526,20135,39661
T4_samples2.csv,T9_samples4.csv,4,14661,1483,16144
T4_samples2.csv,T2_samples3.csv,3,15281,1332,16613
T4_samples2.csv,T2_samples1.csv,3,11889,1039,12928
T4_samples2.csv,T2_samples4.csv,4,10591,1226,11817
T4_samples2.csv,T8_samples1.csv,5,10218,1640,11858
T4_samples2.csv,T8_samples7.csv,5,6130,1804,7934
T4_samples2.csv,T8_samples5.csv,5,13500,1313,14813
T2_samples5.csv,T4_samples7.csv,4,16879,844,17723
T2_samples5.csv,T9_samples2.csv,3,24164,1244,25408
T2_samples5.csv,T8_samples2.csv,5,8702,8296,16998
T2_samples5.csv,T1_samples5.csv,4,17325,8889,26214
T2_samples5.csv,T9_samples4.csv,4,13524,1941,15465
T2_samples5.csv,T8_samples1.csv,5,8847,8432,17279
T2_samples5.csv,T9_samples3.csv,4,8851,991,9842
T2_samples5.csv,T4_samples2.csv,4,7911,915,8826
T2_samples5.csv,T9_samples1.csv,3,9652,1168,10820
T1_samples4.csv,T9_samples4.csv,3,15239,1075,16314
T1_samples4.csv,T2_samples3.csv,4,17770,1405,19175
T1_samples4.csv,T4_samples4.csv,4,22773,8133,30906
T9_samples4.csv,T4_samples7.csv,3,21705,2701,24406
T9_samples4.csv,T2_samples2.csv,4,12545,1077,13622
T9_samples4.csv,T1_samples4.csv,4,16848,3531,20379
T9_samples4.csv,T2_samples5.csv,3,13514,7973,21487
T9_samples4.csv,T8_samples2.csv,5,12929,8043,20972
T9_samples4.csv,T4_samples3.csv,3,19741,28582,48323
T9_samples4.csv,T4_samples1.csv,4,16059,2323,18382
T9_samples4.csv,T2_samples3.csv,4,9182,12316,21498
T9_samples4.csv,T1_samples1.csv,5,1835,11962,13797
T9_samples4.csv,T2_samples1.csv,4,11945,971,12916
T9_samples4.csv,T1_samples3.csv,3,9412,7786,17198
T9_samples4.csv,T2_samples4.csv,4,1492,15524,17016
T9_samples4.csv,T8_samples1.csv,5,9590,1844,11434
T9_samples4.csv,T4_samples2.csv,5,12730,11789,24519
T9_samples4.csv,T8_samples5.csv,5,11300,839,12139
T4_samples1.csv,T2_samples2.csv,4,47209,1477,48686
T4_samples1.csv,T8_samples6.csv,4,17191,1549,18740
T4_samples1.csv,T9_samples4.csv,4,17653,1627,19280
T4_samples1.csv,T2_samples1.csv,3,10799,1581,12380
T4_samples1.csv,T2_samples4.csv,3,15799,1055,16854
T4_samples1.csv,T8_samples7.csv,4,15871,1499,17370
T4_samples1.csv,T9_samples1.csv,2,21607,1497,23104
T4_samples1.csv,T8_samples5.csv,5,17714,911,18625
T2_samples3.csv,T4_samples7.csv,5,20538,2206,22744
T2_samples3.csv,T1_samples4.csv,4,16152,972,17124
T2_samples3.csv,T9_samples2.csv,3,15339,773,16112
T2_samples3.csv,T9_samples4.csv,5,13699,1000,14699
T2_samples3.csv,T1_samples3.csv,3,20629,1779,22408
T2_samples3.csv,T8_samples1.csv,5,8940,1233,10173
T2_samples3.csv,T8_samples7.csv,4,20536,1096,21632
T2_samples3.csv,T9_samples3.csv,3,23116,1132,24248
T2_samples3.csv,T4_samples2.csv,4,21714,1401,23115
T2_samples3.csv,T9_samples1.csv,3,19914,859,20773
T4_samples7.csv,T2_samples2.csv,3,35183,1223,36406
T4_samples7.csv,T9_samples2.csv,3,15253,916,16169
T4_samples7.csv,T2_samples5.csv,3,20378,1191,21569
T4_samples7.csv,T8_samples2.csv,5,12396,1228,13624
T4_samples7.csv,T8_samples6.csv,4,26295,1032,27327
T4_samples7.csv,T8_samples4.csv,5,8479,997,9476
T4_samples7.csv,T2_samples3.csv,1,17883,2301,20184
T4_samples7.csv,T9_samples4.csv,4,30109,1148,31257
T4_samples7.csv,T1_samples1.csv,4,21567,40663,62230
T4_samples7.csv,T2_samples4.csv,4,15536,2276,17812
T4_samples7.csv,T8_samples1.csv,5,10907,2669,13576
T4_samples7.csv,T9_samples3.csv,3,27835,1167,29002
T4_samples7.csv,T8_samples3.csv,5,9700,1036,10736
T4_samples7.csv,T8_samples5.csv,4,9483,1111,10594
T4_samples7.csv,T9_samples1.csv,2,17116,1268,18384
T8_samples6.csv,T4_samples7.csv,4,26844,2132,28976
T8_samples6.csv,T2_samples2.csv,3,15992,976,16968
T8_samples6.csv,T4_samples3.csv,3,25440,954,26394
T8_samples6.csv,T4_samples1.csv,3,31789,5641,37430
T8_samples6.csv,T9_samples1.csv,3,11698,779,12477
T1_samples4.csv,T9_samples4.csv,4,24705,1551,26256
T1_samples4.csv,T2_samples3.csv,4,10666,4851,15517
T1_samples4.csv,T4_samples4.csv,5,17166,11299,28465
T4_samples7.csv,T2_samples2.csv,4,16533,1183,17716
T4_samples7.csv,T9_samples2.csv,3,11659,1060,12719
T4_samples7.csv,T2_samples5.csv,2,15225,1879,17104
T4_samples7.csv,T8_samples2.csv,5,16309,1171,17480
T4_samples7.csv,T8_samples6.csv,5,15625,5419,21044
T4_samples7.csv,T8_samples4.csv,5,9699,910,10609
T4_samples7.csv,T2_samples3.csv,4,9620,3723,13343
T4_samples7.csv,T9_samples4.csv,3,12087,985,13072
T4_samples7.csv,T1_samples1.csv,4,15085,1250,16335
T4_samples7.csv,T2_samples4.csv,3,14889,1592,16481
T4_samples7.csv,T8_samples1.csv,4,22458,1833,24291
T4_samples7.csv,T9_samples3.csv,2,11499,1273,12772
T4_samples7.csv,T8_samples3.csv,5,9095,1037,10132
T4_samples7.csv,T8_samples5.csv,5,11969,998,12967
T4_samples7.csv,T9_samples1.csv,2,24000,1491,25491
T4_samples2.csv,T2_samples2.csv,2,37163,946,38109
T4_samples2.csv,T2_samples5.csv,3,11415,1275,12690
T4_samples2.csv,T8_samples2.csv,4,20445,1326,21771
